Hu0,a,error,skew,median,duration,swp,r_value,p_value
0.5,0,65.36290659,0.2673189774,12.42,5.475196324,15.85974937,-0.04268121458,0.3951753606
0.5,0.004,66.25585689,0.2240806484,12.475,5.475421888,15.86665414,-0.01403163839,0.7799254633
0.5,0.008,66.21866694,0.1622319722,12.47,5.477593985,15.8655472,0.02374624202,0.6362778478
0.5,0.012,62.53512219,0.386457896,12.24166667,5.476524645,15.85767753,0.06818567179,0.174046139
0.5,0.016,61.73117232,0.3697599954,12.19,5.482560568,15.88102757,-0.0265543206,0.5969086211
0.5,0.02,68.76440371,0.3148806275,12.64,5.489649123,15.8648914,-0.04628512492,0.3564564373
0.5,0.024,66.76701703,0.3541899542,12.51666667,5.491771094,15.883467,0.009099334651,0.8562164221
0.5,0.028,68.71367073,0.3058733661,12.64,5.5036132,15.85885547,-0.1415058749,0.004626173508
0.5,0.032,74.73927934,0.1062600725,13,5.516190476,15.86170426,-0.03451590473,0.4917699266
0.5,0.036,68.4789827,0.3169560102,12.63,5.520614035,15.85678363,-0.07771171742,0.1211980083
0.5,0.04,68.47969598,0.1913462206,12.63,5.542502089,15.86282373,-0.09862936453,0.04898277596
0.5,0.044,72.28198358,0.2785781399,12.87,5.554294069,15.8630117,-0.1916853764,0.0001168300205
0.5,0.048,71.59591375,0.2071072199,12.83,5.574214703,15.86182122,-0.1232772322,0.01373420578
0.5,0.052,72.0910268,0.3295209051,12.87,5.596065163,15.87051378,-0.2090417379,2.56E-05
0.5,0.056,69.79211356,0.2156994061,12.73,5.616512114,15.87854637,-0.198303277,6.65E-05
0.5,0.06,69.51741034,0.2384015471,12.72,5.641975,15.86973266,-0.1043460558,0.03697067033
0.5,0.064,72.98741602,0.1553175272,12.93,5.65588137,15.87582289,-0.1088760846,0.02967190374
0.5,0.068,72.46964993,0.07605937008,12.9,5.681996658,15.87275689,-0.05363602418,0.28516569
0.5,0.072,72.12130477,0.1707787472,12.89,5.707522974,15.87703425,-0.1761489421,0.0004074441228
0.5,0.076,76.07215964,0.06667567074,13.125,5.735885547,15.85823726,-0.1431716702,0.00416145501
0.5,0.08,75.42243951,-0.08684099799,13.08,5.756357561,15.86524645,-0.1038034098,0.03821248814
0.5,0.084,80.12325627,0.02982647458,13.37,5.801395155,15.86888053,-0.2048690776,3.74E-05
0.5,0.088,76.25986241,-0.1190238309,13.14,5.823316625,15.8681203,-0.2456718723,6.76E-07
0.5,0.092,78.77358912,-0.07339526707,13.3,5.878233083,15.86288221,-0.284466002,7.28E-09
0.5,0.096,72.72110965,0.0329125896,12.96,5.915726817,15.85330827,-0.2900600181,3.57E-09
0.5,0.1,76.56212631,0.1234739216,13.2,5.958880535,15.86591896,-0.3151273121,1.20E-10
0.5,0.104,79.15582556,0.1633787224,13.36,6.007489557,15.85790309,-0.1724493345,0.0005405356332
0.5,0.108,76.67030072,0.4644081368,13.2375,6.069786967,15.88033417,-0.301665277,7.71E-10
0.5,0.112,81.46964613,0.2303435837,13.5125,6.121470343,15.84609858,-0.3139262363,1.42E-10
0.5,0.116,78.46326486,0.5468240076,13.36,6.187431078,15.86666667,-0.3604659494,1.09E-13
0.5,0.12,79.71355175,0.545138357,13.4375,6.231482874,15.87959064,-0.2838064712,7.91E-09
0.5,0.124,79.9048156,1.058790841,13.45,6.32875,15.86021721,-0.2007679723,5.25E-05
0.5,0.128,82.00340456,0.5714068775,13.5875,6.392105263,15.85561821,-0.209333951,2.50E-05
0.5,0.132,81.36393342,0.4900277181,13.56,6.46547619,15.87303676,-0.2782541993,1.58E-08
0.5,0.136,97.42002827,0.2980649534,14.425,6.606558062,15.85419382,-0.1847859871,0.0002060115475
0.5,0.14,113.9068186,0.1584601668,15.23333333,6.697451963,15.84955305,-0.1671595109,0.0008018704048
0.5,0.144,115.0557066,-0.04962221431,15.28333333,6.79283208,15.85679198,-0.1617442008,0.001186630816
0.5,0.148,132.6535368,-0.3053427189,16.06666667,6.908859649,15.89531746,-0.1460505506,0.003456776216
0.5,0.152,189.2631837,-0.5805972642,18.3,7.07647452,15.86085631,-0.1412810306,0.004692362668
0.5,0.156,210.3179156,-0.8729286685,19.025,7.239670008,15.87637427,-0.2157341755,1.38E-05
0.5,0.16,273.4241504,-1.209200943,21.03541667,7.332604167,15.84378028,-0.1989468341,6.16E-05
0.5,0.164,306.6190856,-1.506846429,21.98333333,7.497556391,15.88070593,-0.2034758617,4.23E-05
0.5,0.168,315.5042178,-1.534824459,22.23333333,7.610895833,15.86421053,-0.2973616012,1.31E-09
0.5,0.172,318.6062924,-1.422046052,22.33333333,7.71566416,15.88584795,-0.2894929911,3.84E-09
0.5,0.176,316.1975256,-1.08036718,22.3,7.789640769,15.89685881,-0.3613215476,9.49E-14
0.5,0.18,321.7928483,-0.9612640288,22.46666667,7.870843776,15.87091896,-0.3562103453,2.22E-13
0.5,0.184,302.7673193,-0.6495727976,21.95,7.92823726,15.86934002,-0.3915040286,4.58E-16
0.5,0.188,131.7103047,-0.4697672271,16.01666667,7.975,15.88796992,-0.3631531441,6.97E-14
0.5,0.192,123.5844124,-0.09767473179,15.68333333,8.007330827,15.8716416,-0.4027728157,5.40E-17
