,Hu0,a,error,skew,median,duration,r_value,p_value,swp
0,0.5,0,18.30091731,0.3829710877,12.17,5.475756057,0.06010514088,0.2309497925,15.85974937
1,0.5,0.004,18.29609286,0.2342962757,12.46666667,5.474193818,0.01263571892,0.8013375271,15.86665414
2,0.5,0.008,18.28854115,0.1427812082,12.62,5.47487051,-0.02931916162,0.5592620599,15.8655472
3,0.5,0.012,18.28887191,0.2184300898,12.48,5.479715957,-0.1219903113,0.01475969119,15.85767753
4,0.5,0.016,18.29051343,0.2311429132,12.47,5.484461153,-0.009102044752,0.8561740634,15.88102757
5,0.5,0.02,18.30556944,0.2835720054,12.48,5.488137009,-0.1083550188,0.0304663242,15.8648914
6,0.5,0.024,18.30802165,0.192266576,12.675,5.496407686,-0.1228017139,0.01410558116,15.883467
7,0.5,0.028,18.53609162,0.2385276608,12.62,5.505150376,-0.01329492924,0.7912062714,15.85885547
8,0.5,0.032,18.29040619,0.3142390113,12.48,5.515263158,-0.07491978108,0.1351948164,15.86170426
9,0.5,0.036,18.28755922,0.276407235,12.5,5.526954887,-0.1891644238,0.0001440700209,15.85678363
10,0.5,0.04,17.74046942,0.2262610365,12.77,5.53505848,-0.08524562586,0.08903045087,15.86282373
11,0.5,0.044,17.94164321,0.2469967427,12.85,5.557944862,-0.1109716233,0.02665371052,15.8630117
12,0.5,0.048,18.3144407,0.2365059278,12.97,5.570776942,-0.1400402555,0.005073219511,15.86182122
13,0.5,0.052,18.29122023,0.2887638437,12.88,5.589536341,-0.09859093294,0.04907141267,15.87051378
14,0.5,0.056,17.71126214,0.140568955,12.86,5.621019215,-0.1402776954,0.004998251844,15.87854637
15,0.5,0.06,17.9061741,0.119245881,13.125,5.650726817,-0.1415564611,0.004611398598,15.86973266
16,0.5,0.064,17.71714019,0.1556992304,12.73,5.657827903,0.01284014778,0.7981920573,15.87582289
17,0.5,0.068,17.35390639,0.1287982407,12.93,5.679536341,-0.09382884445,0.06113990362,15.87275689
18,0.5,0.072,17.02179364,0.118176477,12.7,5.71,-0.120755236,0.01580647118,15.87703425
19,0.5,0.076,17.29718656,-0.02601180367,13.1,5.733629908,-0.1615682929,0.001201594997,15.85823726
20,0.5,0.08,17.34217939,0.1597535186,12.8,5.773717627,-0.2697448556,4.42E-08,15.86524645
21,0.5,0.084,16.39662749,-0.1980029607,13.14,5.803291562,-0.1454089607,0.0036037171,15.86888053
22,0.5,0.088,17.9199405,0.1025581325,13.07,5.843746867,-0.2042770867,3.94E-05,15.8681203
23,0.5,0.092,17.32614885,-0.07442632981,13.29,5.877928154,-0.2192137687,9.92E-06,15.86288221
24,0.5,0.096,16.42962849,-0.101312501,13.275,5.911954887,-0.238478631,1.45E-06,15.85330827
25,0.5,0.1,17.89815087,-0.04755013382,13.4375,5.959010025,-0.3231462691,3.77E-11,15.86591896
26,0.5,0.104,17.90465013,0.1806623387,13.35,6.019561404,-0.2649177762,7.81E-08,15.85790309
27,0.5,0.108,17.34145358,0.2418989739,13.48,6.070822891,-0.2060295824,3.37E-05,15.88033417
28,0.5,0.112,18.29693299,0.3201317935,13.525,6.131975773,-0.26148547,1.16E-07,15.84609858
29,0.5,0.116,17.4548845,0.7655366005,13.325,6.181645781,-0.2471049065,5.79E-07,15.86666667
30,0.5,0.12,17.40248951,0.8324550272,13.36,6.250334169,-0.2910394625,3.14E-09,15.87959064
31,0.5,0.124,17.43334379,0.6716094811,13.48,6.326904762,-0.3228820733,3.92E-11,15.86021721
32,0.5,0.128,16.77680105,0.6030120881,13.78,6.434486216,-0.2189236021,1.02E-05,15.85561821
33,0.5,0.132,16.43259274,0.6542527702,13.7625,6.47946533,-0.1973347745,7.23E-05,15.87303676
34,0.5,0.136,16.42155414,0.2938805901,14.29,6.576520468,-0.190432753,0.0001296959454,15.85419382
35,0.5,0.14,17.99001292,0.1076816743,15.18333333,6.687372598,-0.1804414477,0.0002914457757,15.84955305
36,0.5,0.144,17.47515592,-0.1196807963,15.51666667,6.820008354,-0.144105684,0.003919757304,15.85679198
37,0.5,0.148,17.97208926,-0.07065964374,16.1,6.949565581,-0.1019869,0.04173959501,15.89531746
38,0.5,0.152,17.38660372,-0.5537416195,18,7.091027569,-0.2071319194,3.05E-05,15.86085631
39,0.5,0.156,18.05343896,-0.910123854,19.51875,7.225570833,-0.2061299658,3.26E-05,15.87637427
40,0.5,0.16,16.62159866,-1.144704247,21.45,7.338972431,-0.1823440137,0.0002506104555,15.84378028
41,0.5,0.164,18.23513516,-1.288096124,21.53333333,7.484866332,-0.2617848353,1.12E-07,15.88070593
42,0.5,0.168,17.98760845,-1.53648231,22.21666667,7.608604845,-0.2426137308,9.37E-07,15.86421053
43,0.5,0.172,17.3957062,-1.265583108,22.31666667,7.701566416,-0.2379400746,1.53E-06,15.88584795
44,0.5,0.176,18.18285576,-1.12166263,22.41666667,7.794966583,-0.2756327193,2.18E-08,15.89685881
45,0.5,0.18,18.00333048,-0.8074921071,22.18333333,7.8665,-0.3836790729,1.78E-15,15.87091896
46,0.5,0.184,18.01978671,-0.7173858463,22.33333333,7.912468672,-0.3863101443,1.19E-15,15.86934002
47,0.5,0.188,17.83925323,-0.4300503812,15.91666667,7.973520833,-0.4246298974,6.10E-19,15.88796992
48,0.5,0.192,18.00692687,-0.1335339753,15.73333333,8.008625731,-0.4358607695,6.24E-20,15.8716416
49,0.5,0.196,17.85625415,0.1192793294,8.333333333,8.030137845,-0.4431828667,1.26E-20,15.86535505
50,0.5,0.2,17.88191334,0.3268986819,8.083333333,8.063993317,-0.4350356513,7.46E-20,15.85039265
51,0.508,0,18.29512222,0.2826920238,12.39,5.568922306,-0.1291777513,0.009792852861,16.20468672
52,0.508,0.004,18.28430491,0.2590413719,12.4,5.568588137,-0.02081421558,0.6785049355,16.23029657
53,0.508,0.008,17.93916388,0.3465550522,12.25,5.570233918,-0.05258786863,0.2946978396,16.23784043
54,0.508,0.012,18.29656779,0.2748353077,12.43,5.574298246,-0.06023767597,0.2299211155,16.23757728
55,0.508,0.016,18.29315742,0.2685974617,12.5,5.577690058,-0.06364208992,0.204602435,16.24477861
56,0.508,0.02,18.28448203,0.2620357051,12.475,5.58654553,0.02760375756,0.5824843376,16.22944862
57,0.508,0.024,18.29264964,0.214074333,12.67,5.595948204,-0.05348037064,0.2865679504,16.24225564
58,0.508,0.028,17.93560457,0.2147552846,12.62,5.602932331,-0.03321517984,0.508244459,16.22353383
59,0.508,0.032,17.94467462,0.2425126033,12.6,5.610033417,0.02297596935,0.6472648766,16.23755221
60,0.508,0.036,18.29365217,0.3100291328,12.67,5.628855472,-0.002551160325,0.9594852157,16.2370802
61,0.508,0.04,17.91887303,0.2397097017,12.59,5.634657477,-0.09341884466,0.0622846146,16.21666249
62,0.508,0.044,18.28481481,0.361851194,12.31,5.652309942,-0.09596287346,0.05545868894,16.259825
63,0.508,0.048,17.91816511,0.1647590716,12.81,5.669390142,-0.0514708646,0.3050876987,16.25048454
64,0.508,0.052,18.29249591,0.2199128148,12.78,5.690509607,-0.1065677422,0.03333095705,16.22030911
65,0.508,0.056,17.35974029,0.1819912716,12.8,5.704490393,-0.148391319,0.00296559869,16.22781955
66,0.508,0.06,17.35831671,0.09508526655,12.93,5.726549708,-0.1579118752,0.001554741666,16.23284461
67,0.508,0.064,16.83145228,0.04011144725,12.97,5.754193818,-0.1860739912,0.0001855944866,16.25805764
68,0.508,0.068,17.32058544,-0.1804460722,13.18,5.792765246,-0.2250043367,5.66E-06,16.24511278
69,0.508,0.072,17.34346414,-0.1299978263,13.49,5.821562239,-0.11355925,0.02329445242,16.23709273
70,0.508,0.076,18.2759652,-0.0005942085075,13.225,5.842706767,-0.2148552134,1.50E-05,16.25356667
71,0.508,0.08,17.33550158,-0.1540930338,13.3375,5.881620718,-0.1947796004,9.00E-05,16.21677527
72,0.508,0.084,17.36854328,0.08190046532,13.1875,5.910292398,-0.1424713237,0.004351436248,16.27451963
73,0.508,0.088,17.3280038,0.04947664452,13.075,5.947781955,-0.1935741557,9.97E-05,16.2199457
74,0.508,0.092,17.35766058,0.04562266368,13.45,6.003007519,-0.1340198777,0.007345741931,16.20713033
75,0.508,0.096,17.91865722,0.1541113142,13.45,6.042318296,-0.2079139219,2.84E-05,16.20675856
76,0.508,0.1,18.16025788,0.2017005945,13.45,6.078362573,-0.2050437956,3.68E-05,16.22524227
77,0.508,0.104,17.91267532,0.2206753706,13.52,6.127573099,-0.3114701584,2.00E-10,16.2232122
78,0.508,0.108,18.1788064,0.7638329772,13.475,6.18836675,-0.3140340808,1.40E-10,16.25765664
79,0.508,0.112,16.74487885,0.6945104754,13.57,6.262309942,-0.2086781999,2.65E-05,16.24774018
80,0.508,0.116,18.32226499,0.7773524684,13.54,6.33091061,-0.1557182639,0.001809966736,16.22945698
81,0.508,0.12,17.32637907,0.7303978254,13.975,6.399001671,-0.1106078521,0.02715787006,16.23619048
82,0.508,0.124,16.45995775,0.3386467666,14.175,6.510877193,-0.2076421154,2.91E-05,16.23463241
83,0.508,0.128,16.69153633,0.4657136453,14.625,6.605739348,-0.1578752174,0.00155872059,16.22830827
84,0.508,0.132,17.39182885,0.1871399195,15.63333333,6.710914787,-0.1224961344,0.01434886961,16.22949457
85,0.508,0.136,15.51750613,-0.2262227433,16.03333333,6.815772765,-0.1556781515,0.001814971855,16.23379282
86,0.508,0.14,17.38975565,-0.2717969251,16,6.924774436,-0.1950124141,8.82E-05,16.23209691
87,0.508,0.144,16.47554667,-0.5480586982,17.75,7.062000835,-0.1834660118,0.0002291025128,16.23077277
88,0.508,0.148,18.0416208,-0.9067452491,18.9,7.202986633,-0.1962078502,7.97E-05,16.2323726
89,0.508,0.152,15.84833244,-1.11889583,21.325,7.316512114,-0.1773437328,0.0003714492508,16.23062239
90,0.508,0.156,17.42154815,-1.298778668,21.75,7.450793651,-0.2078517222,2.86E-05,16.24180451
91,0.508,0.16,17.554786,-1.550701134,21.98333333,7.580242272,-0.2486162769,4.91E-07,16.22242272
92,0.508,0.164,18.08890397,-1.301582517,22.21666667,7.6553467,-0.2837334591,7.99E-09,16.22744361
93,0.508,0.168,17.99913307,-1.086691039,22.36666667,7.771888053,-0.2954365932,1.77E-09,16.21360485
94,0.508,0.172,17.99452446,-1.02152511,22.58333333,7.852548037,-0.3439599155,1.60E-12,16.23973684
95,0.508,0.176,18.01552186,-0.7310572647,22.21666667,7.894979167,-0.3605608578,1.00E-13,16.25028404
96,0.508,0.18,17.85715477,-0.4323954281,16,7.947117794,-0.3563529425,2.17E-13,16.24385547
97,0.508,0.184,17.86086435,-0.1888239828,15.75,7.974582289,-0.4136944865,6.29E-18,16.22513367
98,0.508,0.188,17.86783451,0.1004191528,8.266666667,8.000960735,-0.4546467784,9.52E-22,16.24312448
99,0.508,0.192,17.88074337,0.4177887781,8.066666667,8.027903091,-0.4647931005,8.90E-23,16.23533333
100,0.508,0.196,17.88370066,0.6833555274,1.483333333,8.053216374,-0.4417060155,1.75E-20,16.22736007
101,0.508,0.2,17.87496535,1.055555735,1.266666667,8.068671679,-0.4715410237,1.76E-23,16.23431495
102,0.516,0,18.53276626,0.2773205028,12.22,5.660714286,0.07324409135,0.1441742308,16.5954553
103,0.516,0.004,18.30247255,0.3941720289,12.12,5.659573935,-0.03885437151,0.4389468704,16.6023183
104,0.516,0.008,18.31479016,0.3481674274,12.34,5.660614035,0.0555595662,0.2682182759,16.61115706
105,0.516,0.012,17.93662742,0.1485257497,12.43,5.664373434,0.04005211306,0.4249572471,16.60792398
106,0.516,0.016,18.28040833,0.09501242873,12.47,5.669578112,-0.05735373397,0.2530441105,16.60634085
107,0.516,0.02,18.3050592,0.2323812466,12.3,5.676503759,-0.04180655516,0.4049409016,16.61110276
108,0.516,0.024,18.28083186,0.164235986,12.15,5.676942356,0.01018184701,0.8393309033,16.5963868
109,0.516,0.028,17.90633227,-0.07575285357,12.73,5.688951546,-0.09522169017,0.0573800527,16.59818713
110,0.516,0.032,17.93556911,0.1012823076,12.52,5.703253968,-0.06282867853,0.2104598355,16.6209315
111,0.516,0.036,18.53655313,0.002698950394,12.99,5.7179198,-0.0855947916,0.08772443891,16.63281955
112,0.516,0.04,18.27861467,0.02857421315,12.67,5.72716792,-0.1222482069,0.01454895972,16.60318296
113,0.516,0.044,17.90133719,-0.1588965974,13.06,5.746954887,-0.1514727076,0.002415783596,16.61093567
114,0.516,0.048,17.05567729,0.02938300235,13.04,5.766441103,-0.1630342843,0.001082019516,16.59842105
115,0.516,0.052,17.33220529,-0.2159803753,13.12,5.788893066,-0.207556059,2.93E-05,16.60247285
116,0.516,0.056,17.89166833,-0.2021379244,13.1125,5.816850459,-0.1468077117,0.003290368068,16.59206767
117,0.516,0.06,17.07342448,0.04795559617,13.24,5.835793651,-0.1012876859,0.04316857459,16.59664578
118,0.516,0.064,17.90419142,-0.07522362043,12.98,5.859431913,-0.1074437772,0.03189938149,16.59442356
119,0.516,0.068,17.31658958,-0.02570794571,13.0125,5.883625731,-0.1555066568,0.001836513776,16.60206767
120,0.516,0.072,17.91340275,-0.1178355646,13.38,5.915300752,-0.07103603077,0.156693084,16.61662072
